No.;No. Abklatsch;No. Graf (No. Makam);Kode Katalog;Sisi Nisan;Kondisi;Tanggal Pembuatan;Tempat Penemuan;Kota/Kabupaten;Kecamatan;Mukim;Gampong;Meunasah;Bentuk Umum;Tinggi;Lebar;Posisi;Bentuk;Motif;Ukuran (cm);Jenis Nisan;Isi Inkripsi;Aksara;Bahasa;Khat;Tanggal Pendataan;BOKS;Tanggal Masuk Boks;Keterangan
243;1011;XXIV;;1 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;30;"Atas;Bawah";Vas & Panil;Floral;"10,5x10 ;5x28";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;Tsuluts;30-May-24;Boks 3;23-Oct-24;
244;1012;XXIV;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;62;16;"Atas;Bawah";Panil;Floral & Geometris;"8x9;17x5";Kaligrafi & Hiasan;Kalimat Syhadat;Arab;Arab;Tsuluts;02-May-24;Boks 3;23-Oct-24;
245;1013;XXIV;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;62;16;"Atas;Bawah";Panil;Floral & Geometris;"8x9;17x5";Kaligrafi & Hiasan;Kalimat Syhadat;Arab;Arab;Tsuluts;02-May-24;Boks 3;23-Oct-24;
246;1014;XXIV;;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;30;"Atas;Bawah";Vas & Panil;Floral;"13x10;28x6";Kaligrafi dan Hiasan;Kalimat Syhadat;Arab;Arab;Tsuluts;06-May-24;Boks 3;23-Oct-24;
247;1015;XXIV;;5 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;29;"Atas;Tengah;Bawah";Vas & Panil;Floral & Roset;"9x10;9x9;26x5,5";Kaligrafi dan Hiasan;Kalimat Syhadat;Arab;Arab;Tsuluts;06-May-24;Boks 3;23-Oct-24;
248;1016;XXIV;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;62;18;"Atas;Bawah";Panil;Floral & Geometris;"8,5x9,5;16x5";Kaligrafi & Hiasan;Kalimat Syhadat;Arab;Arab;Tsuluts;02-May-24;Boks 3;23-Oct-24;
249;1017;XXIV;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;62;18;"Atas;Bawah";Panil;Floral & Geometris;"8,5x9,5;16x5";Kaligrafi & Hiasan;Kalimat Syhadat;Arab;Arab;Tsuluts;02-May-24;Boks 3;23-Oct-24;
250;1019;XXV;abk.ach.bm.tdb.xxv;1 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;58;29;Seluruh Sisi;Vas, Bingkai & Panil;Floral;"9x14;35x18;26x7,5";Hiasan;-;-;Arab;-;30-Apr-24;Boks 3;23-Oct-24;
251;1020;XXV;abk.ach.bm.tdb.xxv;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;16;Seluruh Sisi;Mahkota, Bingkai & Panil;Floral & Geometris;"12x9;36x9;13x7";Hiasan;-;-;Arab;-;30-Apr-24;Boks 3;23-Oct-24;
252;1021;XXV;abk.ach.bm.tdb.xxv;4 Barat;Cukup Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;69;17;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral & Geometris;"9x11;36x10;13,5x7,5";Kaligrafi & Hiasan;Kalimat Syhadat;Arab;Arab;Tsuluts;30-Apr-24;Boks 3;23-Oct-24;
253;1022;XXV;abk.ach.bm.tdb.xxv;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;28;Seluruh Sisi;Mahkota, Bingkai & Panil;Floral & Geometris;"9x13;36x19;26x7";Hiasan;-;-;Arab;-;30-Apr-24;Boks 3;23-Oct-24;
254;1023;XXV;abk.ach.bm.tdb.xxv;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;15;Seluruh Sisi;Mahkota, Bingkai & Panil;Floral & Geometris;"12x9;36x9;13x7";Kaligrafi & Hiasan;-;Arab;Arab;Tsuluts;30-Apr-24;Boks 3;23-Oct-24;
255;1024;XXV;abk.ach.bm.tdb.xxv;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;15;Seluruh Sisi;Mahkota, Bingkai & Panil;Floral & Geometris;"12x9;36x9;13x7";Kaligrafi & Hiasan;-;Arab;Arab;Tsuluts;30-Apr-24;Boks 3;23-Oct-24;
256;1025;XXV;abk.ach.bm.tdb.xxv;5 Selatan;Baik;1913 Juli ;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;29;Seluruh Sisi;Vas, Bingkai & Panil;Floral & Geometris;"9x13;36x19;26x7";Kaligrafi & Hiasan;-;Arab;Arab;-;30-Apr-24;Boks 3;23-Oct-24;
257;1026;XXV;abk.ach.bm.tdb.xxv;7 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;29;Seluruh Sisi;Vas, Bingkai & Panil;Floral & Geometris;"9x13;36x19;26x7";Hiasan;-;-;-;-;30-Apr-24;Boks 3;23-Oct-24;
258;1027;XXVI;;Djirat makam/deksteen;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;76;24,5;Seluruh Sisi;Panil;Floral & Roset;73,5x21,5;Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;29-May-24;Boks 3;23-Oct-24;
259;1029;XXVI;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;20;11;"Atas;Bawah";Mahkota & Panil;Floral;"4x2;8x3";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;-;20-May-24;Boks 3;23-Oct-24;
260;1030;XXVI;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;19;11;"Atas;Bawah";Mahkota & Panil;Floral;"4x2;8x3";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;-;20-May-24;Boks 3;23-Oct-24;
261;1032;XXVI;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;20;11;"Atas;Bawah";Mahkota & Panil;Floral;"4x2;8x3";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;-;20-May-24;Boks 3;23-Oct-24;
262;1034;XXVI;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;20;11;"Atas;Bawah";Mahkota & Panil;Floral;"4x2;8x3";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;-;20-May-24;Boks 3;23-Oct-24;
263;1042;XXVII;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;18;11;"Atas;Bawah";Mahkota & Panil;Floral;"5x2;8x3";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;-;20-May-24;Boks 3;23-Oct-24;
264;1043;XXVII;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;20;11;"Atas;Bawah";Mahkota & Panil;Floral;"5x2;8x3";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;-;20-May-24;Boks 3;23-Oct-24;
265;1047;XXVIII;;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang me;Meutjat;Meutjat;Persegi Panjang;50;26;"Atas;Bawah";Vas & Panil;Floral;"7,5x11;23,5x5";Kaligrafi dan Hiasan;-;Arab;Arab;-;30-May-24;Boks 3;23-Oct-24;
266;1057;XXXI;;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;26;"Atas;Tengah;Bawah";Vas & Panil;Floral;"7,5x12;31x18;24x7";Kaligrafi dan Hiasan;Kalimat Syahadat;Arab;Arab;-;30-May-24;Boks 3;23-Oct-24;
267;1060;XXXI;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;18;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral;"9,5x8,5;12,5x29,5;15x7";Hiasan;-;-;-;-;06-May-24;Boks 3;23-Oct-24;
268;1061;XXXI;;7 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;52;27;"Atas;Tengah;Bawah";Vas, Bingkai & Panil;Floral;"7,5x13;19x30;24x7";Kaligrafi dan Hiasan;-;Arab;Arab;-;06-May-24;Boks 3;23-Oct-24;
269;1062;XXXI;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;18;"Atas;Tengah;Bawah";Bunga, Bingkai & Panil;Floral;"9,5x10;28,5x11,5;15x7";Kaligrafi dan Hiasan;-;Arab;Arab;-;30-May-24;Boks 3;23-Oct-24;
270;1086;XXXIII;;7 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;51;28;"Atas;Bawah";Vas & Panil;Floral;"8,5x11;26x7";Kaligrafi dan Hiasan;Pertanggalan;Arab;Arab;Tsuluts;30-May-24;Boks 3;23-Oct-24;
271;1087;XXXIII;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;19;Seluruh Sisi;Bingkai & Panil;Floral & Geometris;"31x11;15x7";Hiasan;-;-;-;;06-May-24;Boks 3;23-Oct-24;
272;1090;XXXIV;;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;28;"Atas;Bawah";Vas & Panil;Floral & Geometris;"19x12;27x7";Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;02-May-24;Boks 3;23-Oct-24;
273;1091;XXXIV;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;59;17;Bawah;Panil;Floral;14,5x7,5;Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;06-May-24;Boks 3;23-Oct-24;
274;1099;XXXV;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;18;Bawah;Panil;Floral;16x8;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
275;1101;XXXV;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56,5;18;Bawah;Panil;Floral;16,5x8;Kaligrafi & Hiasan;Pertanggalan;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
276;1103;XXXV;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;18;Bawah;Panil;Floral;16,5x8;Kaligrafi & Hiasan;Pertanggalan;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
277;1105;XXXVI;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;45;18;Bawah;Panil;Floral;15x7;Kaligrafi & Hiasan;;Arab;Arab;-;03-May-24;Boks 3;23-Oct-24;
278;1107;XXXVI;;4 Barat;Baik;1913  Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;49;17;"Tengah;Bawah";Panil;Floral & Roset;"33x10,5;15x6,5";Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;-;03-May-24;Boks 3;23-Oct-24;
279;1113;XXXVII;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;17;"Tengah;Bawah";Panil;Floral & Roset;"31,5x9,5;6x15";Kaligrafi & Hiasan;-;Arab;Arab;-;03-May-24;Boks 3;23-Oct-24;
280;1127;XXXVIII;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;16,5;Bawah;Panil;Floral;15x6;Kaligrafi & Hiasan;-;Arab;Arab;-;03-May-24;Boks 3;23-Oct-24;
281;1129;XXXIX;;1 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;53;16;Bawah;Panil;Floral;8x5,5;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
282;1131;XXXIX;;4 Barat;Baik ;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;16;Bawah;Panil;Floral;13x6;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
283;1132;XXXIX;;5 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;52;30;"Atas;Bawah";Vas & Panil;Floral;"12,5x12;30x6,5";Kaligrafi dan Hiasan;Nama Tokoh;Arab;Arab;Tsuluts;06-May-24;Boks 3;23-Oct-24;
284;1133;XXXIX;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;17;Bawah;Panil;Floral;16x5;Kaligrafi & Hiasan;Syair dan Puisi;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
285;1135;XXXIX;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;18;Bawah;Panil;Floral;16x5,5;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
286;1137;XL;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;16;Bawah;Panil;Floral;15x4,5;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
287;1138;XL;;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;52;29;"Atas;Bawah";Vas & Panil;Floral;"12x6;26x5";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;06-May-24;Boks 3;23-Oct-24;
288;1139;XL;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;18;Bawah;Panil;Floral;16x4,5;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
289;1145;XLI;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;59;18;Bawah;Panil;Floral;15,5x6,5;Kaligrafi & Hiasan;Pertanggalan;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
290;1147;XLI;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;19;Bawah;Panil;Floral;16x6;Kaligrafi dan Hiasan;Pujian;Arab;Arab;Tsuluts;16-May-24;Boks 3;23-Oct-24;
291;1148;XLI;;5 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;53;30;"Atas;Bawah";Panil;Floral;"12x8;28x7";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;Tsuluts;29-May-24;Boks 3;23-Oct-24;
292;1150;XLI;;7 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;53;30;"Atas;Bawah";Panil;Floral;"12x8;28x7";Kaligrafi dan Hiasan;;;;;;Boks 3;23-Oct-24;
293;1157;XLII;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56,5;18;Bawah;Panil;Floral;15x6;Kaligrafi & Hiasan;-;Arab;Arab;Tsuluts;03-May-24;Boks 3;23-Oct-24;
294;1159;XLII;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;18;Bawah;Panil;Floral;16,5x5,5;Kaligrafi & Hiasan;-;Arab;Arab;-;03-May-24;Boks 3;23-Oct-24;
295;1161;XLIII;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;18;Bawah;Panil;Floral;16x6;Kaligrafi dan Hiasan;Pertanggalan;Arab;Arab;Tsuluts;28-May-24;Boks 3;23-Oct-24;
296;1167;XLV;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;32;13;Seluruh Sisi;Bingkai;Floral;28x7,5;Hiasan;-;-;-;-;30-Apr-24;Boks 4;24-Oct-24;
297;1173;XLV;;2 Timur;Cukup Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;61;18;Bawah;Panil;Floral;15,5x7;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;02-May-24;Boks 4;24-Oct-24;
298;1176;XLV;;5 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;30;"Atas;Bawah";Vas & Panil;Floral;"12,5x12;28x7,5";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;Tsuluts;06-May-24;Boks 4;24-Oct-24;
299;1177;XLV;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;17;Bawah;Panil;Floral;16x7;Kaligrafi dan Hiasan;;Arab;Arab;-;06-May-24;Boks 4;24-Oct-24;
300;1178;XLV;;7 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;30;"Atas;Bawah";"Vas;Panil";Floral & Geometris;"12x7;27x7,5";Kaligrafi dan Hiasan;Nama Tokoh;Arab;Arab;Tsuluts;14-May-24;Boks 4;24-Oct-24;
301;1188;XLVII;;1 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;30;"Atas;Bawah";"Vas;Panil";Floral;"13,5x11;28x7";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;29-May-24;Boks 4;24-Oct-24;
302;1189;XLVII;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;47;17;"Atas;Bawah";Panil;Floral & Geometris;"32x10;14,5x7";Hiasan;-;-;-;-;30-May-24;Boks 4;24-Oct-24;
303;1190;XLVII;;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;30;"Atas;Bawah";Vas & Panil;Floral;"13x11;27x7";Kaligrafi dan Hiasan;Nama Tokoh;Arab;Arab;Tsuluts;06-May-24;Boks 4;24-Oct-24;
304;1191;XLVII;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;48;17;"Atas;Bawah";Panil;Floral & Geometris;"10x32;14,5x6,5";Hiasan;-;-;Arab;-;29-Apr-24;Boks 4;24-Oct-24;
305;1192;XLVII;;5 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;30;"Atas;Bawah";Vas & Panil;Floral;"11x8;27,5x7";Kaligrafi dan Hiasan;-;Arab;Arab;-;06-May-24;Boks 4;24-Oct-24;
306;1193;XLVII;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;46;17;Seluruh Sisi;Panil;Floral;"31x10;15x7";Hiasan;-;-;-;-;06-May-24;Boks 4;24-Oct-24;
307;1196;XLVIII;;1 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;51;28;"Atas;Bawah";Vas & Panil;Floral;"14x10,5;26x6";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;30-May-24;Boks 4;24-Oct-24;
308;1198;XLVIII;;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;51;27;"Atas;Bawah";Vas & Panil;Floral;"14x10;26,5x5,5";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;30-May-24;Boks 4;24-Oct-24;
309;1199;XLVIII;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;54;15;Bawah;Panil;Floral;12x6;Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;30-May-24;Boks 4;24-Oct-24;
310;1200;XLVIII;;5 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;51;28;"Atas;Bawah";Vas & Panil;Floral;"14,5x11;26x6";Kaligrafi dan Hiasan;Syair dan Puisi;Arab;Arab;Tsuluts;30-May-24;Boks 4;24-Oct-24;
311;1202;XLVIII;;7 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;51;28;"Atas;Bawah";Vas & Panil;Floral;"10x8;26x5,5";Kaligrafi dan Hiasan;Nama Tokoh dan Pertanggalan;Arab;Arab;Tsuluts;06-May-24;Boks 4;24-Oct-24;
312;1204;XLIX;;1 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;29;"Atas;Bawah";Vas & Panil;Floral;"15x13;26,5x6";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;30-May-24;Boks 4;24-Oct-24;
313;1205;XLIX;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;59;17;Bawah;Panil;Floral;14x6;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;02-May-24;Boks 4;24-Oct-24;
314;1210;XLIX;;7 Utara;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;29;"Atas;Bawah";Vas & Panil;Floral;"8,5x12;27x6";Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;06-May-24;Boks 4;24-Oct-24;
315;1215;L;;4 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;61;19;Bawah;Panil;Floral;7x16;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;29-Apr-24;Boks 4;24-Oct-24;
316;1217;L;;6 Barat;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;69;16;Bawah;Panil;Floral;7x16;Kaligrafi & Hiasan;Syair dan Puisi;Arab;Arab;Tsuluts;29-Apr-24;Boks 4;24-Oct-24;
317;1219;L;;8 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;10;Bawah;Panil;Floral;15,5x6,5;Kaligrafi dan Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;06-May-24;Boks 4;24-Oct-24;
318;1220;LI;;1 Utara;Cukup Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;30;"Atas;Bawah";Vas & Panil;Floral;"9x11;27x6";Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;29-Apr-24;Boks 4;24-Oct-24;
319;1221;LI;;2 Timur;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;18;Bawah;Panil;Floral;15x7,5;Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;-;02-May-24;Boks 4;24-Oct-24;
320;1222;LI;;3 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;30;"Atas;Bawah";Vas & Panil;Floral;"9x11;27x6";Kaligrafi & Hiasan;Ayat Al-Quran;Arab;Arab;Tsuluts;29-Apr-24;Boks 4;24-Oct-24;
321;1224;LI;;5 Selatan;Baik;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;30;"Atas;Bawah";Vas & Panil;Floral;"10x12;27x7";Kaligrafi & Hiasan;Pertanggalan;Arab;Arab;Tsuluts;29-Apr-24;Boks 4;24-Oct-24;
