nomor_abklats;nomor_graf;sisi_nisan;kondisi;tanggal_pembuatan;tempat_penemuan;kota;kecamatan;mukim;gampong;meunasah;bentuk_umum;panjang;lebar;ornamentasi_posisi;ornamentasi_bentuk;ornamentasi_motif;ornamentasi_ukuran;jenis_nisan;tanggal_pendataan;boks_penyimpanan
953;XVI;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;53;27;"Atas;Bawah";Vas & Panil;Floral;"14x9,5;24x6,5";Kaligrafi dan Hiasan;14-May-24;Boks 3
954;XVI;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;19,5;Bawah;Panil;Floral;17,5x7;Kaligrafi dan Hiasan;14-May-24;Boks 3
955;XVI;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;53;27;"Atas;Bawah";Vas & Panil;Floral;"14x9,5;24x6,5";Kaligrafi dan Hiasan;14-May-24;Boks 3
960;XVI;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;20;Bawah;Panil;Floral;17,5x7;Kaligrafi dan Hiasan;14-May-24;Boks 3
961;XVII;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;28;"Atas;Bawah";Vas & Panil;Floral;"11x9;25,5x6,5";Kaligrafi dan Hiasan;06-May-24;Boks 3
962;XVII;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;17;Bawah;Panil;Floral;15x7;Kaligrafi dan Hiasan;06-May-24;Boks 3
963;XVII;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;28;"Atas;Bawah";Vas & Panil;Floral;"11x9;25,5x6,5";Kaligrafi dan Hiasan;06-May-24;Boks 3
964;XVII;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;17;Bawah;Panil;Floral;15x7;Kaligrafi dan Hiasan;06-May-24;Boks 3
966;XVII;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;59;17;Bawah;Panil;Floral;14,5x6,5;Kaligrafi dan Hiasan;06-May-24;Boks 3
967;XVII;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;55,5;29;"Atas;Bawah";Vas & Panil;Floral;"9,5x12;26x7";Kaligrafi dan Hiasan;14-May-24;Boks 3
968;XVII;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;61;17;Bawah;Panil;Floral;15x7;Kaligrafi dan Hiasan;20-May-24;Boks 3
971;XIX;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;58;29;"Atas;Bawah";Vas & Panil;Floral & Geometris;"13,5x13;27x7";Kaligrafi dan Hiasan;20-May-24;Boks 3
972;XIX;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;63;19;Bawah;Panil;Floral & Geometris;16,5x6,5;Kaligrafi dan Hiasan;20-May-24;Boks 3
973;XIX;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;58;29;"Atas;Bawah";Vas & Panil;Floral & Geometris;"14x12,5;27x7";Kaligrafi dan Hiasan;20-May-24;Boks 3
974;XIX;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;64;19;Bawah;Panil;Floral & Geometris;16,5x6,5;Kaligrafi dan Hiasan;20-May-24;Boks 3
977;XIX;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;55,5;29;"Atas;Bawah";Vas & Panil;Floral & Geometris;"13x12,5;26,5x6,5";Kaligrafi dan Hiasan;20-May-24;Boks 3
978;XIX;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;63;19;Bawah;Panil;Floral & Geometris;16,5 x6,5;Kaligrafi dan Hiasan;20-May-24;Boks 3
979;XX;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;30;"Atas;Bawah";Mahkota & Panil;Floral dan Geometris;"13x8;28,5x7";Kaligrafi dan Hiasan;21-May-24;Boks 3
980;XX;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;63,5;17;"Atas;Bawah";Mahkota & Panil;Floral & Geometris;"10,5x10;15x7,5";Kaligrafi dan Hiasan;21-May-24;Boks 3
981;XX;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;73;17;"Atas;Bawah";Mahkota & Panil;Floral dan Geometris;"10x10;15x7";Kaligrafi dan Hiasan;21-May-24;Boks 3
982;XX;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;59;30;"Atas;Bawah";Vas & Panil;Floral & Geometris;"8,5x13;28x7";Kaligrafi dan Hiasan;14-May-24;Boks 3
983;XX;5 selatan;5 selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;59;27,5;"Atas;Bawah";Vas & Panil;Floral dan Geometris;"15x14;29x7,5";Kaligrafi dan Hiasan;14-May-24;Boks 3
994;XXI;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;61;18;Bawah;Panil;Floral;15x6;Kaligrafi dan Hiasan;16-May-24;Boks 3
997;XXII;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;;;-;-;-;-;Kaligrafi dan Hiasan;16-May-24;Boks 3
1001;XXI;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Stele;60;30;"Atas;Bawah";"Vas;Panil";Floral;"14x13,5;27,5x7";Kaligrafi dan Hiasan;16-May-24;Boks 3
1006;XXIII;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;20;Bawah;Panil;Floral;17,5x7,5;Kaligrafi & Hiasan;30-Apr-24;Boks 3
1009;XXIII;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;29;"Atas;Bawah";Vas & Panil;Floral;"12x8;26x8";Kaligrafi dan Hiasan;30-May-24;Boks 3
1011;XXIV;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;30;"Atas;Bawah";Vas & Panil;Floral;"10,5x10 ;5x28";Kaligrafi dan Hiasan;30-May-24;Boks 3
1012;XXIV;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;62;16;"Atas;Bawah";Panil;Floral & Geometris;"8x9;17x5";Kaligrafi & Hiasan;02-May-24;Boks 3
1013;XXIV;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;62;16;"Atas;Bawah";Panil;Floral & Geometris;"8x9;17x5";Kaligrafi & Hiasan;02-May-24;Boks 3
1014;XXIV;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;30;"Atas;Bawah";Vas & Panil;Floral;"13x10;28x6";Kaligrafi dan Hiasan;06-May-24;Boks 3
1015;XXIV;5 Selatan;5 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;29;"Atas;Tengah;Bawah";Vas & Panil;Floral & Roset;"9x10;9x9;26x5,5";Kaligrafi dan Hiasan;06-May-24;Boks 3
1016;XXIV;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;62;18;"Atas;Bawah";Panil;Floral & Geometris;"8,5x9,5;16x5";Kaligrafi & Hiasan;02-May-24;Boks 3
1017;XXIV;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;62;18;"Atas;Bawah";Panil;Floral & Geometris;"8,5x9,5;16x5";Kaligrafi & Hiasan;02-May-24;Boks 3
1019;XXV;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;58;29;Seluruh Sisi;Vas, Bingkai & Panil;Floral;"9x14;35x18;26x7,5";Hiasan;30-Apr-24;Boks 3
1020;XXV;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;16;Seluruh Sisi;Mahkota, Bingkai & Panil;Floral & Geometris;"12x9;36x9;13x7";Hiasan;30-Apr-24;Boks 3
1021;XXV;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;69;17;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral & Geometris;"9x11;36x10;13,5x7,5";Kaligrafi & Hiasan;30-Apr-24;Boks 3
1022;XXV;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;28;Seluruh Sisi;Mahkota, Bingkai & Panil;Floral & Geometris;"9x13;36x19;26x7";Hiasan;30-Apr-24;Boks 3
1023;XXV;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;15;Seluruh Sisi;Mahkota, Bingkai & Panil;Floral & Geometris;"12x9;36x9;13x7";Kaligrafi & Hiasan;30-Apr-24;Boks 3
1024;XXV;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;15;Seluruh Sisi;Mahkota, Bingkai & Panil;Floral & Geometris;"12x9;36x9;13x7";Kaligrafi & Hiasan;30-Apr-24;Boks 3
1025;XXV;5 Selatan;5 Selatan;1913 Juli ;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;29;Seluruh Sisi;Vas, Bingkai & Panil;Floral & Geometris;"9x13;36x19;26x7";Kaligrafi & Hiasan;30-Apr-24;Boks 3
1026;XXV;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;29;Seluruh Sisi;Vas, Bingkai & Panil;Floral & Geometris;"9x13;36x19;26x7";Hiasan;30-Apr-24;Boks 3
1027;XXVI;Djirat makam/deksteen;Djirat makam/deksteen;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;76;24,5;Seluruh Sisi;Panil;Floral & Roset;73,5x21,5;Kaligrafi dan Hiasan;29-May-24;Boks 3
1029;XXVI;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;20;11;"Atas;Bawah";Mahkota & Panil;Floral;"4x2;8x3";Kaligrafi dan Hiasan;20-May-24;Boks 3
1030;XXVI;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;19;11;"Atas;Bawah";Mahkota & Panil;Floral;"4x2;8x3";Kaligrafi dan Hiasan;20-May-24;Boks 3
1032;XXVI;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;20;11;"Atas;Bawah";Mahkota & Panil;Floral;"4x2;8x3";Kaligrafi dan Hiasan;20-May-24;Boks 3
1034;XXVI;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;20;11;"Atas;Bawah";Mahkota & Panil;Floral;"4x2;8x3";Kaligrafi dan Hiasan;20-May-24;Boks 3
1042;XXVII;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;18;11;"Atas;Bawah";Mahkota & Panil;Floral;"5x2;8x3";Kaligrafi dan Hiasan;20-May-24;Boks 3
1043;XXVII;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;20;11;"Atas;Bawah";Mahkota & Panil;Floral;"5x2;8x3";Kaligrafi dan Hiasan;20-May-24;Boks 3
1047;XXVIII;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang me;Meutjat;Meutjat;Persegi Panjang;50;26;"Atas;Bawah";Vas & Panil;Floral;"7,5x11;23,5x5";Kaligrafi dan Hiasan;30-May-24;Boks 3
1057;XXXI;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;26;"Atas;Tengah;Bawah";Vas & Panil;Floral;"7,5x12;31x18;24x7";Kaligrafi dan Hiasan;30-May-24;Boks 3
1060;XXXI;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;18;"Atas;Tengah;Bawah";Mahkota, Bingkai & Panil;Floral;"9,5x8,5;12,5x29,5;15x7";Hiasan;06-May-24;Boks 3
1061;XXXI;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;52;27;"Atas;Tengah;Bawah";Vas, Bingkai & Panil;Floral;"7,5x13;19x30;24x7";Kaligrafi dan Hiasan;06-May-24;Boks 3
1062;XXXI;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;18;"Atas;Tengah;Bawah";Bunga, Bingkai & Panil;Floral;"9,5x10;28,5x11,5;15x7";Kaligrafi dan Hiasan;30-May-24;Boks 3
1086;XXXIII;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;51;28;"Atas;Bawah";Vas & Panil;Floral;"8,5x11;26x7";Kaligrafi dan Hiasan;30-May-24;Boks 3
1087;XXXIII;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;19;Seluruh Sisi;Bingkai & Panil;Floral & Geometris;"31x11;15x7";Hiasan;06-May-24;Boks 3
1090;XXXIV;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;28;"Atas;Bawah";Vas & Panil;Floral & Geometris;"19x12;27x7";Kaligrafi & Hiasan;02-May-24;Boks 3
1091;XXXIV;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;59;17;Bawah;Panil;Floral;14,5x7,5;Kaligrafi dan Hiasan;06-May-24;Boks 3
1099;XXXV;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;58;18;Bawah;Panil;Floral;16x8;Kaligrafi & Hiasan;03-May-24;Boks 3
1101;XXXV;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56,5;18;Bawah;Panil;Floral;16,5x8;Kaligrafi & Hiasan;03-May-24;Boks 3
1103;XXXV;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;18;Bawah;Panil;Floral;16,5x8;Kaligrafi & Hiasan;03-May-24;Boks 3
1105;XXXVI;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;45;18;Bawah;Panil;Floral;15x7;Kaligrafi & Hiasan;03-May-24;Boks 3
1107;XXXVI;4 Barat;4 Barat;1913  Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;49;17;"Tengah;Bawah";Panil;Floral & Roset;"33x10,5;15x6,5";Kaligrafi & Hiasan;03-May-24;Boks 3
1113;XXXVII;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;17;"Tengah;Bawah";Panil;Floral & Roset;"31,5x9,5;6x15";Kaligrafi & Hiasan;03-May-24;Boks 3
1127;XXXVIII;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;16,5;Bawah;Panil;Floral;15x6;Kaligrafi & Hiasan;03-May-24;Boks 3
1129;XXXIX;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;53;16;Bawah;Panil;Floral;8x5,5;Kaligrafi & Hiasan;03-May-24;Boks 3
1131;XXXIX;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;16;Bawah;Panil;Floral;13x6;Kaligrafi & Hiasan;03-May-24;Boks 3
1132;XXXIX;5 Selatan;5 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;52;30;"Atas;Bawah";Vas & Panil;Floral;"12,5x12;30x6,5";Kaligrafi dan Hiasan;06-May-24;Boks 3
1133;XXXIX;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;17;Bawah;Panil;Floral;16x5;Kaligrafi & Hiasan;03-May-24;Boks 3
1135;XXXIX;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;18;Bawah;Panil;Floral;16x5,5;Kaligrafi & Hiasan;03-May-24;Boks 3
1137;XL;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56;16;Bawah;Panil;Floral;15x4,5;Kaligrafi & Hiasan;03-May-24;Boks 3
1138;XL;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;52;29;"Atas;Bawah";Vas & Panil;Floral;"12x6;26x5";Kaligrafi dan Hiasan;06-May-24;Boks 3
1139;XL;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;18;Bawah;Panil;Floral;16x4,5;Kaligrafi & Hiasan;03-May-24;Boks 3
1145;XLI;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;59;18;Bawah;Panil;Floral;15,5x6,5;Kaligrafi & Hiasan;03-May-24;Boks 3
1147;XLI;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;19;Bawah;Panil;Floral;16x6;Kaligrafi dan Hiasan;16-May-24;Boks 3
1148;XLI;5 Selatan;5 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;53;30;"Atas;Bawah";Panil;Floral;"12x8;28x7";Kaligrafi dan Hiasan;29-May-24;Boks 3
1150;XLI;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;53;30;"Atas;Bawah";Panil;Floral;"12x8;28x7";Kaligrafi dan Hiasan;;Boks 3
1157;XLII;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;56,5;18;Bawah;Panil;Floral;15x6;Kaligrafi & Hiasan;03-May-24;Boks 3
1159;XLII;8 Timur;8 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;18;Bawah;Panil;Floral;16,5x5,5;Kaligrafi & Hiasan;03-May-24;Boks 3
1161;XLIII;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;18;Bawah;Panil;Floral;16x6;Kaligrafi dan Hiasan;28-May-24;Boks 3
1167;XLV;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;32;13;Seluruh Sisi;Bingkai;Floral;28x7,5;Hiasan;30-Apr-24;Boks 4
1173;XLV;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;61;18;Bawah;Panil;Floral;15,5x7;Kaligrafi & Hiasan;02-May-24;Boks 4
1176;XLV;5 Selatan;5 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;30;"Atas;Bawah";Vas & Panil;Floral;"12,5x12;28x7,5";Kaligrafi dan Hiasan;06-May-24;Boks 4
1177;XLV;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;60;17;Bawah;Panil;Floral;16x7;Kaligrafi dan Hiasan;06-May-24;Boks 4
1178;XLV;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;57;30;"Atas;Bawah";"Vas;Panil";Floral & Geometris;"12x7;27x7,5";Kaligrafi dan Hiasan;14-May-24;Boks 4
1188;XLVII;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;30;"Atas;Bawah";"Vas;Panil";Floral;"13,5x11;28x7";Kaligrafi dan Hiasan;29-May-24;Boks 4
1189;XLVII;2 Timur;2 Timur;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;47;17;"Atas;Bawah";Panil;Floral & Geometris;"32x10;14,5x7";Hiasan;30-May-24;Boks 4
1190;XLVII;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;56;30;"Atas;Bawah";Vas & Panil;Floral;"13x11;27x7";Kaligrafi dan Hiasan;06-May-24;Boks 4
1191;XLVII;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;48;17;"Atas;Bawah";Panil;Floral & Geometris;"10x32;14,5x6,5";Hiasan;29-Apr-24;Boks 4
1192;XLVII;5 Selatan;5 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;54;30;"Atas;Bawah";Vas & Panil;Floral;"11x8;27,5x7";Kaligrafi dan Hiasan;06-May-24;Boks 4
1193;XLVII;6 Barat;6 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;46;17;Seluruh Sisi;Panil;Floral;"31x10;15x7";Hiasan;06-May-24;Boks 4
1196;XLVIII;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;51;28;"Atas;Bawah";Vas & Panil;Floral;"14x10,5;26x6";Kaligrafi dan Hiasan;30-May-24;Boks 4
1198;XLVIII;3 Selatan;3 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;51;27;"Atas;Bawah";Vas & Panil;Floral;"14x10;26,5x5,5";Kaligrafi dan Hiasan;30-May-24;Boks 4
1199;XLVIII;4 Barat;4 Barat;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;54;15;Bawah;Panil;Floral;12x6;Kaligrafi dan Hiasan;30-May-24;Boks 4
1200;XLVIII;5 Selatan;5 Selatan;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Nisan Puncak Kurawal;51;28;"Atas;Bawah";Vas & Panil;Floral;"14,5x11;26x6";Kaligrafi dan Hiasan;30-May-24;Boks 4
1202;XLVIII;7 Utara;7 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;51;28;"Atas;Bawah";Vas & Panil;Floral;"10x8;26x5,5";Kaligrafi dan Hiasan;06-May-24;Boks 4
1204;XLIX;1 Utara;1 Utara;1913 Juli;Makam Toengoe di Bale;Aceh Utara;Samudera;Blang Me;Meutjat;Meutjat;Persegi Panjang;55;29;"Atas;Bawah";Vas & Panil;Floral;"15x13;26,5x6";Kaligrafi dan Hiasan;30-May-24;Boks 4
